IMDb ID,Title,Runtime (mins),Year,Genres,Release Date,IMDb Rating,Metascore,Rating,Box Office
tt1674784,Trespass,91,2011,"Crime, Drama, Thriller",9/14/2011,5.3,37,R,16816
tt1439572,Perfect Sense,92,2011,"Drama, Romance, Sci-Fi",1/24/2011,7.1,55,R,1567
tt1172991,The Company Men,104,2010,Drama,1/22/2010,6.8,69,R,4439063
tt0817177,Flipped,90,2010,"Comedy, Drama, Romance",7/26/2010,7.7,45,PG,1752214
tt1107319,Dirty Girl,90,2010,"Comedy, Drama",9/12/2010,6.5,37,R,53630
tt1532503,Beginners,105,2010,"Comedy, Drama, Romance",9/11/2010,7.2,81,R,5764842
tt1587310,Maleficent,97,2014,"Action, Adventure, Family, Fantasy, Romance",5/28/2014,7.0,56,PG,190871149
tt1267297,Hercules,98,2014,"Action, Adventure, Fantasy",7/23/2014,6.0,47,PG-13,59445889
tt1226273,Edge of Darkness,117,2010,"Crime, Drama, Mystery, Thriller",1/28/2010,6.6,55,R,43290977
tt1322312,Going the Distance,102,2010,"Comedy, Romance",8/27/2010,6.3,51,R,17797316
tt1320244,The Last Exorcism,87,2010,"Drama, Horror, Thriller",6/24/2010,5.6,63,PG-13,40990055
tt1216492,Leap Year,100,2010,"Comedy, Romance",1/6/2010,6.5,33,PG,25893485
tt1536044,Paranormal Activity 2,91,2010,Horror,10/20/2010,5.7,53,R,84747727
tt0780653,The Wolfman,103,2010,"Drama, Fantasy, Horror, Thriller",1/27/2010,5.8,43,R,61937495
tt1334512,Arthur,110,2011,"Comedy, Romance",4/8/2011,5.7,36,PG-13,29200000
tt1583420,Larry Crowne,98,2011,"Comedy, Drama, Romance",6/27/2011,6.1,41,PG-13,35565975
tt1067774,Monte Carlo,109,2011,"Adventure, Comedy, Family, Romance",6/30/2011,5.8,43,PG,22500000
tt1161864,The Rite,114,2011,"Drama, Horror, Mystery, Thriller",1/26/2011,6.0,38,PG-13,33037754
tt1265990,The Roommate,91,2011,"Drama, Thriller",2/4/2011,4.9,23,PG-13,37300107
tt0881320,Sanctum,108,2011,"Adventure, Drama, Thriller",2/3/2011,5.9,42,R,22300000
tt0479997,Season of the Witch,95,2011,"Action, Adventure, Fantasy",1/4/2011,5.4,28,PG-13,24800000
tt1615918,Alvin and the Chipmunks: Chipwrecked,87,2011,"Animation, Adventure, Comedy, Family, Fantasy, Music",12/14/2011,4.4,24,G,133103929
tt1772240,Apollo 18,86,2011,"Horror, Mystery, Sci-Fi, Thriller",9/1/2011,5.2,24,PG-13,17500000
tt1564349,Dolphin Tale,113,2011,"Drama, Family",9/21/2011,6.9,64,PG,65099999
tt0999913,Straw Dogs,110,2011,"Action, Drama, Thriller",9/16/2011,5.8,45,R,10324441
tt1430615,Big Miracle,107,2012,"Biography, Drama, Family, Romance",2/2/2012,6.5,61,PG,20113965
tt2023453,Diary of a Wimpy Kid: Dog Days,94,2012,"Comedy, Family",8/3/2012,6.3,54,PG,49002815
tt1837709,Winter's Tale,118,2014,"Drama, Fantasy, Mystery, Romance",2/10/2014,6.2,31,PG-13,10628616
tt1829012,Passion,102,2012,"Drama, Mystery, Thriller",9/7/2012,5.3,53,R,57741
tt1659343,Universal Soldier: Day of Reckoning,114,2012,"Action, Horror, Mystery, Sci-Fi, Thriller",8/23/2012,5.1,58,R,3500
tt1945062,About Cherry,98,2012,Drama,2/29/2012,4.8,33,R,2760
tt2115295,Ginger & Rosa,90,2012,Drama,8/31/2012,6.3,69,PG-13,1005700
tt1368440,Branded,106,2012,"Drama, Fantasy, Thriller",9/7/2012,4.7,20,R,353468
tt1441952,Salmon Fishing in the Yemen,107,2011,"Comedy, Drama, Romance",9/10/2011,6.8,58,PG-13,4700000
tt1634121,Intruders,100,2011,"Fantasy, Horror, Thriller",9/12/2011,5.4,45,R,64727
